basename,F_1,P,R
Bohisto_HS_105_652_object_118022,0.8512,0.7511,0.9819
Bohisto_HS50a_54_object_30518,0.8525,0.7849,0.9328
ABP_M_Freyung_011_0668,0.8529,0.7776,0.9443
BHIC_5117-084-0021,0.8531,0.8538,0.8523
BHIC_5117-086-0037,0.8536,0.8431,0.8644
BHIC_5117-093-0009,0.8538,0.8232,0.8867
EPFL_420,0.854,0.8496,0.8584
Bohisto_HS_89_433_object_113964,0.8541,0.7494,0.9929
Bohisto_HS_82_149_object_109810,0.8548,0.7637,0.9706
BHIC_5117-085-0029,0.8549,0.7758,0.9519
UCL_107_226_001,0.8553,0.7962,0.924
ABP_T_Otterskirchen_003_0591,0.8556,0.8136,0.9021
BHIC_5117-093-0017,0.8559,0.831,0.8824
Bohisto_HS_81_560_object_126233,0.856,0.8283,0.8857
UCL_046_132_001,0.856,0.8608,0.8513
EPFL_1160,0.8562,0.9824,0.7588
ABP_RS_Freyung_029_0105,0.8563,0.8527,0.86
UCL_069_038_004,0.8566,0.8073,0.9123
BHIC_5117-077-0011,0.8566,0.8241,0.8917
unibas_IMG_MAX_228438,0.8571,0.75,1.0
unibas_IMG_MAX_155145,0.8571,1.0,0.75
BHIC_5117-080-0003,0.858,0.8948,0.8241
unibas_IMG_MAX_982567,0.8583,0.7669,0.9745
StAM_00000001-17,0.8591,0.8115,0.9126
ABP_RM_Freyung_028_0044,0.8591,0.8461,0.8725
UCL_058_103_001,0.8593,0.8297,0.8911
BHIC_5117-092-0007,0.8595,0.8257,0.8963
Bohisto_HS36a_209_object_24482,0.8595,0.7586,0.9913
BHIC_5117-086-0027,0.8598,0.8555,0.8642
BHIC_5117-090-0009,0.8598,0.8004,0.9287
BHIC_5117-086-0003,0.8598,0.8157,0.909
HUB_118a,0.8607,0.779,0.9617
NAF_0313,0.861,0.7737,0.9705
unibas_IMG_MAX_1333202,0.8617,0.8274,0.8989
HUB_006a,0.8621,0.8315,0.8951
UCL_049_196_001,0.8621,0.9066,0.8218
Bohisto_HS_88_591_object_113392,0.8624,0.7927,0.9455
NAF_0593,0.863,0.78,0.9657
StAM_00000056,0.863,0.8334,0.8947
EPFL_417,0.8644,0.8568,0.8722
EPFL_447,0.8646,0.7819,0.9669
BHIC_5117-085-0011,0.8647,0.8374,0.8938
BHIC_5117-081-0003,0.8649,0.8928,0.8387
Bohisto_HS_83_222_object_110678,0.8652,0.7802,0.9709
BHIC_5117-093-0019,0.8654,0.8412,0.8911
UCL_042_546_001,0.8655,0.866,0.865
EPFL_313,0.8656,0.9089,0.8263
HUB_097a,0.8658,0.7807,0.9718
ABP_T_Aigen_am_Inn_004_0044,0.8659,0.7758,0.9798
unibas_IMG_MAX_44353,0.866,0.9168,0.8205
Bohisto_HS_94_547_object_195968,0.866,0.7735,0.9836
NAF_0449,0.8668,0.7673,0.996
BHIC_5117-077-0009,0.8669,0.8699,0.8639
BHIC_5117-077-0007,0.8673,0.8448,0.891
Bohisto_HS_92_591_object_195196,0.8673,0.7789,0.9785
HUB_00000165,0.8675,0.7697,0.9938
StAM_00000022,0.8675,0.7829,0.9726
BHIC_5117-088-0003,0.8681,0.8049,0.9421
EPFL_0068,0.8683,0.8013,0.9475
ABP_T_Otterskirchen_003_0528,0.8683,0.893,0.8449
UCL_059_032_001,0.8685,0.9111,0.8297
Bohisto_HS_128_261_object_121208,0.8687,0.7709,0.9948
BHIC_5117-087-0011,0.8691,0.875,0.8632
ABP_T_Freyung_008-01_0204,0.8693,0.8785,0.8604
ABP_T_Freyung_005-01_0247,0.8701,0.7955,0.9601
HUB_00000109,0.8701,0.7723,0.9964
BHIC_5117-093-0013,0.8707,0.8267,0.9196
Bohisto_HS_80_680_object_109309,0.8711,0.8156,0.9347
UCL_042_025_001,0.8711,0.9108,0.8348
UCL_070_140_002,0.8712,0.8532,0.89
NAF_0801,0.8712,0.8365,0.9088
BHIC_5117-087-0003,0.8712,0.8486,0.8951
Bohisto_HS40_53_object_10958,0.8714,0.7955,0.9634
BHIC_5117-092-0003,0.8718,0.8315,0.9162
BHIC_5117-085-0003,0.872,0.815,0.9375
NAF_0234,0.872,0.8636,0.8806
ABP_S_Otterskirchen_015_0098,0.8728,0.8282,0.9225
ABP_RT_Otterskirchen_021-01_0024,0.8732,0.8155,0.9396
EPFL_0051,0.8734,0.8254,0.9273
BHIC_5117-089-0005,0.874,0.8661,0.8821
BHIC_5117-077-0003,0.8743,0.8703,0.8783
BHIC_5117-088-0015,0.8745,0.8473,0.9035
BHIC_5117-084-0011,0.8746,0.8262,0.929
UCL_103_471_001,0.8749,0.9319,0.8245
ABP_T_Freyung_008-01_0015,0.8754,0.8623,0.8889
BHIC_5117-077-0005,0.8757,0.8512,0.9016
BHIC_5117-092-0023,0.8761,0.8548,0.8985
BHIC_5117-089-0013,0.8763,0.8378,0.9185
Bohisto_HS_121_229_object_139861,0.8765,0.7881,0.9874
Bohisto_HS_126_509_object_143562,0.8772,0.8119,0.9539
HUB_00000011,0.8773,0.7903,0.9858
Bohisto_HS_96_392_object_189173,0.8775,0.7897,0.9873
BHIC_5117-087-0019,0.8776,0.8663,0.8892
UCL_008_160_001,0.8779,0.8901,0.866
ABP_T_Otterskirchen_003_0150,0.878,0.916,0.843
BHIC_5117-085-0025,0.8782,0.8133,0.9543
NAF_0226,0.8783,0.8687,0.8882
UCL_023_003_002,0.8783,0.9016,0.8562
BHIC_5117-089-0003,0.8785,0.9007,0.8574
ABP_S_Freyung_019_0339,0.8786,0.8104,0.9594
BHIC_5117-081-0009,0.8789,0.9056,0.8538
BHIC_5117-087-0015,0.8791,0.8629,0.896
StAM_00000129-1,0.8791,0.7907,0.9898
UCL_102_036_001,0.8792,0.9408,0.8251
BHIC_5117-084-0005,0.8795,0.8497,0.9113
BHIC_5117-082-0015,0.8796,0.8546,0.9062
unibas_IMG_MAX_311717,0.8797,0.799,0.9784
